dataset001.hgr	Chem97Zt.mtx.dynamic.hgr
dataset002.hgr	Trec14.mtx.dynamic.hgr
dataset003.hgr	gemat1.mtx.dynamic.hgr
dataset004.hgr	p2p-Gnutella25.mtx.dynamic.hgr
dataset005.hgr	bundle1.mtx.dynamic.hgr
dataset006.hgr	ted_A.mtx.dynamic.hgr
dataset007.hgr	nopoly.mtx.dynamic.hgr
dataset008.hgr	msc10848.mtx.dynamic.hgr
dataset009.hgr	cage10.mtx.dynamic.hgr
dataset010.hgr	pesa.mtx.dynamic.hgr
dataset011.hgr	g7jac040sc.mtx.dynamic.hgr
dataset012.hgr	ex19.mtx.dynamic.hgr
dataset013.hgr	vibrobox.mtx.dynamic.hgr
dataset014.hgr	12month1.mtx.dynamic.hgr
dataset015.hgr	skirt.mtx.dynamic.hgr
dataset016.hgr	Reuters911.mtx.dynamic.hgr
dataset017.hgr	foldoc.mtx.dynamic.hgr
dataset018.hgr	garon2.mtx.dynamic.hgr
dataset019.hgr	192bit.mtx.dynamic.hgr
dataset020.hgr	crystk02.mtx.dynamic.hgr
dataset021.hgr	bcsstk29.mtx.dynamic.hgr
dataset022.hgr	appu.mtx.dynamic.hgr
dataset023.hgr	airfoil_2d.mtx.dynamic.hgr
dataset024.hgr	human_gene2.mtx.dynamic.hgr
dataset025.hgr	Pres_Poisson.mtx.dynamic.hgr
dataset026.hgr	lp_nug20.mtx.dynamic.hgr
dataset027.hgr	TF16.mtx.dynamic.hgr
dataset028.hgr	opt1.mtx.dynamic.hgr
dataset029.hgr	astro-ph.mtx.dynamic.hgr
dataset030.hgr	olafu.mtx.dynamic.hgr
dataset031.hgr	gupta3.mtx.dynamic.hgr
dataset032.hgr	copter1.mtx.dynamic.hgr
dataset033.hgr	gyro.mtx.dynamic.hgr
dataset034.hgr	Trefethen_20000.mtx.dynamic.hgr
dataset035.hgr	Ill_Stokes.mtx.dynamic.hgr
dataset036.hgr	waveguide3D.mtx.dynamic.hgr
dataset037.hgr	rim.mtx.dynamic.hgr
dataset038.hgr	li.mtx.dynamic.hgr
dataset039.hgr	ABACUS_shell_hd.mtx.dynamic.hgr
dataset040.hgr	af23560.mtx.dynamic.hgr
dataset041.hgr	HEP-th.mtx.dynamic.hgr
dataset042.hgr	hvdc1.mtx.dynamic.hgr
dataset043.hgr	mult_dcop_01.mtx.dynamic.hgr
dataset044.hgr	flower_7_4.mtx.dynamic.hgr
