dataset_number	k	n	m	f	total_connections (total number of set/element connections throughout the entire sequence)
1	5082	254	31022	969	62044
2	6318	315	15905	1837	2872265
3	9858	492	10595	4928	47369
4	12442	622	22687	64	54705
5	21162	1058	10581	1711	770901
6	21210	1060	10605	147	424587
7	21548	1077	10774	11	70842
8	21696	1084	10848	723	1229778
9	22794	1139	11397	25	150645
10	23476	1173	11738	10	79566
11	23580	1179	11790	120	114671
12	24010	1200	12005	50	259879
13	24656	1232	12328	121	342828
14	24942	1247	872622	75355	22624727
15	25196	1259	12598	33	196520
16	26628	1331	13332	2265	296076
17	26712	1335	13356	102	120238
18	27070	1353	13535	45	390607
19	27382	1369	13682	16	154303
20	27930	1396	13965	81	968583
21	27984	1399	13992	71	619488
22	28000	1400	14000	294	1853104
23	28428	1421	14214	23	259688
24	28680	1434	14340	7229	18068388
25	29644	1482	14822	50	715804
26	30480	1524	72600	20	304800
27	30874	1543	19321	63	216173
28	30898	1544	15449	243	1930655
29	32092	1604	16706	360	242502
30	32292	1614	16146	89	1015156
31	33566	1678	16783	14672	9323427
32	34444	1722	17222	19	211064
33	34722	1736	17361	360	1021159
34	40000	2000	20000	29	554466
35	41792	2089	20896	12	191368
36	42072	2103	21036	28	303468
37	45120	2256	22560	112	1014951
38	45390	2269	22695	108	1350309
39	46824	2341	23412	15	218484
40	47120	2356	23560	21	484256
41	49082	2454	27240	562	342437
42	49684	2484	24842	181	159981
43	50374	2518	25187	22767	193276
44	55386	2769	67593	15	202218
45	58134	2906	29067	345	2081063
46	58564	2928	29282	18	406084
47	59840	2992	29920	181	2033200
48	59914	2995	29957	154	1995041
49	59990	2999	29995	8	229947
50	60324	3016	27944	120	1035008
51	61596	3079	30798	15054	1801300
52	65538	3276	32769	73	381326
53	69840	3492	34920	438	4644230
54	72000	3600	36000	519	14220946
55	72834	3641	36417	204	4344765
56	72882	3644	36441	21	565761
57	75524	3776	37762	42	1162244
58	76830	3841	38415	25	933195
59	77488	3874	38744	126	1771722
60	80432	4021	40216	20024	1042160
61	91816	4590	59498	155	647495
62	93670	4683	46835	145	2374001
63	98304	4915	49152	39	1916928
64	99332	4966	49666	13	558594
65	100000	5000	50000	56	1548988
66	103986	5199	51993	23	380415
67	108038	5401	54019	1426	996414
68	109740	5487	54870	276	2677324
69	110642	5532	65536	17998	4912469
70	120000	6000	60000	36	760154
71	121480	6074	60740	63	2035281
72	124848	6242	62424	44	1717792
73	130050	6502	65025	25	1030225
74	131072	6553	147266	9	589824
75	132254	6612	66127	27	1660579
76	134048	6702	67024	37	2216736
77	134346	6717	67173	89	3833077
78	136242	6812	68121	68121	5377761
79	138470	6923	132402	12	830820
80	141312	7065	70656	33	1828364
81	143010	7150	71505	345	5294285
82	148124	7406	74062	565	1731206
83	148208	7410	74104	271	365580
84	149504	7475	74752	55	596992
85	165308	8265	82654	11	574458
86	171246	8562	85623	145	2374949
87	175608	8780	87804	132	5217912
88	178800	8940	89400	13	1156224
89	180898	9044	90449	42	3753461
90	202984	10149	101492	31	1647264
91	204316	10215	102158	10	711558
92	226152	11307	113076	7031	3805068
93	233670	11683	116835	114190	766396
94	306452	15322	153226	5776	5326228
95	307492	15374	153746	99	9080404
96	314928	15746	157464	27	3866688
97	320000	16000	160000	11	1750416
98	338820	16941	169410	719	5036288
99	365460	18273	182730	11	1641672
100	429530	21476	214765	40	3358036
101	491748	24587	245874	54	13150496
102	518312	25915	259156	22	4429042
103	524282	26214	262144	31	3094566
104	584016	29200	292008	60	7307376
105	607234	30361	896308	1334	3782463
106	654124	32706	37830	19	6019939
107	698886	34944	822922	403	8251000
108	763378	38168	381689	295	37464962
109	831726	41586	415863	77	20240935
110	1007250	50362	503625	35	17550675
111	1214464	60723	607232	158	25309272
112	1318066	65903	659033	628	5959282
113	1846272	92313	923136	57	41005206
114	1980004	99000	41270	2497	8018988
115	2279810	113990	1139905	11468	113891327
116	2930274	146513	1465137	189	21005389
117	6692166	334608	49677	145	33819106
118	7084800	354240	3542400	28	96845792
119	8570726	428536	2268264	9350	73141425
120	13840612	692030	9845725	3841	57156537
